sample_id	filename	file_type	size	file_ome	open_access
MOHD_EA100026	MOHD_EA100026_R2.fastq.gz	Sequenced reads	1664299827	ATAC_SEQ	False
MOHD_EA100026	MOHD_EA100026_R1.fastq.gz	Sequenced reads	1642824990	ATAC_SEQ	False
MOHD_EA100027	MOHD_EA100027_filtered_GRCh38_v0.bam	Aligned reads	2469606195	ATAC_SEQ	False
MOHD_EA100027	MOHD_EA100027_unfiltered_GRCh38_v0.bam	Aligned reads	5325759447	ATAC_SEQ	False
MOHD_EA100027	MOHD_EA100027_signal-FC_GRCh38_v0.bigWig	Fold change signal	446200545	ATAC_SEQ	True
MOHD_EA100027	MOHD_EA100027_signal-pvalue_GRCh38_v0.bigWig	p-value signal	315998863	ATAC_SEQ	True
MOHD_EA100027	MOHD_EA100027_R1.fastq.gz	Sequenced reads	1696512081	ATAC_SEQ	False
MOHD_EA100027	MOHD_EA100027_peaks-FDR5_GRCh38_v0.bed.gz	FDR 0.05 peaks	2065694	ATAC_SEQ	True
MOHD_EA100027	MOHD_EA100027_R2.fastq.gz	Sequenced reads	1879048192	ATAC_SEQ	False
MOHD_EA100027	MOHD_EA100027_peaks-pseudorep_GRCh38_v0.bed.gz	Pseudorep peaks	1688207	ATAC_SEQ	True
MOHD_EA100028	MOHD_EA100028_signal-FC_GRCh38_v0.bigWig	Fold change signal	797358161	ATAC_SEQ	True
MOHD_EA100028	MOHD_EA100028_signal-pvalue_GRCh38_v0.bigWig	p-value signal	606055956	ATAC_SEQ	True
MOHD_EA100028	MOHD_EA100028_R2.fastq.gz	Sequenced reads	1900523028	ATAC_SEQ	False
MOHD_EA100028	MOHD_EA100028_peaks-pseudorep_GRCh38_v0.bed.gz	Pseudorep peaks	1551892	ATAC_SEQ	True
MOHD_EA100028	MOHD_EA100028_filtered_GRCh38_v0.bam	Aligned reads	3317862236	ATAC_SEQ	False
MOHD_EA100028	MOHD_EA100028_peaks-FDR5_GRCh38_v0.bed.gz	FDR 0.05 peaks	3072327	ATAC_SEQ	True
MOHD_EA100028	MOHD_EA100028_unfiltered_GRCh38_v0.bam	Aligned reads	6055903887	ATAC_SEQ	False
MOHD_EA100028	MOHD_EA100028_R1.fastq.gz	Sequenced reads	1803886264	ATAC_SEQ	False
MOHD_EA100029	MOHD_EA100029_signal-pvalue_GRCh38_v0.bigWig	p-value signal	400388259	ATAC_SEQ	True
MOHD_EA100029	MOHD_EA100029_peaks-pseudorep_GRCh38_v0.bed.gz	Pseudorep peaks	69376	ATAC_SEQ	True
MOHD_EA100029	MOHD_EA100029_unfiltered_GRCh38_v0.bam	Aligned reads	3253437726	ATAC_SEQ	False
MOHD_EA100029	MOHD_EA100029_R1.fastq.gz	Sequenced reads	995926999	ATAC_SEQ	False
MOHD_EA100029	MOHD_EA100029_peaks-FDR5_GRCh38_v0.bed.gz	FDR 0.05 peaks	285583	ATAC_SEQ	True
MOHD_EA100029	MOHD_EA100029_R2.fastq.gz	Sequenced reads	986332528	ATAC_SEQ	False
MOHD_EA100029	MOHD_EA100029_signal-FC_GRCh38_v0.bigWig	Fold change signal	424578908	ATAC_SEQ	True
MOHD_EA100029	MOHD_EA100029_filtered_GRCh38_v0.bam	Aligned reads	1932735283	ATAC_SEQ	False
MOHD_EA100030	MOHD_EA100030_unfiltered_GRCh38_v0.bam	Aligned reads	3307124817	ATAC_SEQ	False
MOHD_EA100030	MOHD_EA100030_filtered_GRCh38_v0.bam	Aligned reads	1879048192	ATAC_SEQ	False
MOHD_EA100030	MOHD_EA100030_peaks-pseudorep_GRCh38_v0.bed.gz	Pseudorep peaks	589977	ATAC_SEQ	True
MOHD_EA100030	MOHD_EA100030_signal-pvalue_GRCh38_v0.bigWig	p-value signal	396120555	ATAC_SEQ	True
MOHD_EA100030	MOHD_EA100030_peaks-FDR5_GRCh38_v0.bed.gz	FDR 0.05 peaks	1111490	ATAC_SEQ	True
MOHD_EA100030	MOHD_EA100030_R2.fastq.gz	Sequenced reads	985902612	ATAC_SEQ	False
MOHD_EA100030	MOHD_EA100030_R1.fastq.gz	Sequenced reads	992225525	ATAC_SEQ	False
MOHD_EA100030	MOHD_EA100030_signal-FC_GRCh38_v0.bigWig	Fold change signal	419241656	ATAC_SEQ	True
MOHD_EA100031	MOHD_EA100031_peaks-FDR5_GRCh38_v0.bed.gz	FDR 0.05 peaks	1247805	ATAC_SEQ	True
MOHD_EA100031	MOHD_EA100031_signal-FC_GRCh38_v0.bigWig	Fold change signal	720319283	ATAC_SEQ	True
MOHD_EA100031	MOHD_EA100031_filtered_GRCh38_v0.bam	Aligned reads	3156800962	ATAC_SEQ	False
MOHD_EA100031	MOHD_EA100031_peaks-pseudorep_GRCh38_v0.bed.gz	Pseudorep peaks	622018	ATAC_SEQ	True
MOHD_EA100031	MOHD_EA100031_unfiltered_GRCh38_v0.bam	Aligned reads	5336496865	ATAC_SEQ	False
MOHD_EA100031	MOHD_EA100031_signal-pvalue_GRCh38_v0.bigWig	p-value signal	558031175	ATAC_SEQ	True
MOHD_EA100031	MOHD_EA100031_R1.fastq.gz	Sequenced reads	1589137899	ATAC_SEQ	False
MOHD_EA100031	MOHD_EA100031_R2.fastq.gz	Sequenced reads	1717986918	ATAC_SEQ	False
MOHD_EA100032	MOHD_EA100032_filtered_GRCh38_v0.bam	Aligned reads	4166118277	ATAC_SEQ	False
MOHD_EA100032	MOHD_EA100032_signal-pvalue_GRCh38_v0.bigWig	p-value signal	730784071	ATAC_SEQ	True
MOHD_EA100032	MOHD_EA100032_R1.fastq.gz	Sequenced reads	2383706849	ATAC_SEQ	False
MOHD_EA100032	MOHD_EA100032_peaks-FDR5_GRCh38_v0.bed.gz	FDR 0.05 peaks	2621440	ATAC_SEQ	True
MOHD_EA100032	MOHD_EA100032_R2.fastq.gz	Sequenced reads	2501818449	ATAC_SEQ	False
MOHD_EA100032	MOHD_EA100032_signal-FC_GRCh38_v0.bigWig	Fold change signal	1032165785	ATAC_SEQ	True
MOHD_EA100032	MOHD_EA100032_unfiltered_GRCh38_v0.bam	Aligned reads	7945689497	ATAC_SEQ	False
MOHD_EA100032	MOHD_EA100032_peaks-pseudorep_GRCh38_v0.bed.gz	Pseudorep peaks	978391	ATAC_SEQ	True
MOHD_EA100033	MOHD_EA100033_signal-pvalue_GRCh38_v0.bigWig	p-value signal	528765419	ATAC_SEQ	True
MOHD_EA100033	MOHD_EA100033_peaks-FDR5_GRCh38_v0.bed.gz	FDR 0.05 peaks	1981808	ATAC_SEQ	True
MOHD_EA100033	MOHD_EA100033_signal-FC_GRCh38_v0.bigWig	Fold change signal	691902873	ATAC_SEQ	True
MOHD_EA100033	MOHD_EA100033_filtered_GRCh38_v0.bam	Aligned reads	2974264852	ATAC_SEQ	False
MOHD_EA100033	MOHD_EA100033_peaks-pseudorep_GRCh38_v0.bed.gz	Pseudorep peaks	764303	ATAC_SEQ	True
MOHD_EA100033	MOHD_EA100033_R1.fastq.gz	Sequenced reads	1535450808	ATAC_SEQ	False
MOHD_EA100033	MOHD_EA100033_unfiltered_GRCh38_v0.bam	Aligned reads	5035849154	ATAC_SEQ	False
MOHD_EA100033	MOHD_EA100033_R2.fastq.gz	Sequenced reads	1610612736	ATAC_SEQ	False
MOHD_EA100034	MOHD_EA100034_R1.fastq.gz	Sequenced reads	1546188226	ATAC_SEQ	False
MOHD_EA100034	MOHD_EA100034_filtered_GRCh38_v0.bam	Aligned reads	2899102924	ATAC_SEQ	False
MOHD_EA100034	MOHD_EA100034_peaks-FDR5_GRCh38_v0.bed.gz	FDR 0.05 peaks	2149580	ATAC_SEQ	True
MOHD_EA100034	MOHD_EA100034_peaks-pseudorep_GRCh38_v0.bed.gz	Pseudorep peaks	984524	ATAC_SEQ	True
MOHD_EA100034	MOHD_EA100034_R2.fastq.gz	Sequenced reads	1750199173	ATAC_SEQ	False
MOHD_EA100034	MOHD_EA100034_unfiltered_GRCh38_v0.bam	Aligned reads	5336496865	ATAC_SEQ	False
MOHD_EA100034	MOHD_EA100034_signal-pvalue_GRCh38_v0.bigWig	p-value signal	522935336	ATAC_SEQ	True
MOHD_EA100034	MOHD_EA100034_signal-FC_GRCh38_v0.bigWig	Fold change signal	670721638	ATAC_SEQ	True
MOHD_EA100025	MOHD_EA100025.tar.gz	Compressed Tar File	1178165229	ATAC_SEQ	True
MOHD_EA100031	MOHD_EA100031.tar.gz	Compressed Tar File	1247679351	ATAC_SEQ	True
MOHD_EA100027	MOHD_EA100027.tar.gz	Compressed Tar File	746510346	ATAC_SEQ	True
MOHD_EA100014	MOHD_EA100014.tar.gz	Compressed Tar File	712541471	ATAC_SEQ	True
MOHD_EA100003	MOHD_EA100003.tar.gz	Compressed Tar File	1270897469	ATAC_SEQ	True
MOHD_EA100006	MOHD_EA100006.tar.gz	Compressed Tar File	994036798	ATAC_SEQ	True
MOHD_EA100016	MOHD_EA100016.tar.gz	Compressed Tar File	1086362946	ATAC_SEQ	True
MOHD_EA100004	MOHD_EA100004.tar.gz	Compressed Tar File	1378638091	ATAC_SEQ	True
MOHD_EA100019	MOHD_EA100019.tar.gz	Compressed Tar File	998853614	ATAC_SEQ	True
MOHD_EA100033	MOHD_EA100033.tar.gz	Compressed Tar File	1193459129	ATAC_SEQ	True
MOHD_EA100021	MOHD_EA100021.tar.gz	Compressed Tar File	993906255	ATAC_SEQ	True
MOHD_EA100009	MOHD_EA100009.tar.gz	Compressed Tar File	898449416	ATAC_SEQ	True
MOHD_EA100017	MOHD_EA100017.tar.gz	Compressed Tar File	1012358206	ATAC_SEQ	True
MOHD_EA100005	MOHD_EA100005.tar.gz	Compressed Tar File	1367690105	ATAC_SEQ	True
MOHD_EA100012	MOHD_EA100012.tar.gz	Compressed Tar File	909432735	ATAC_SEQ	True
MOHD_EA100024	MOHD_EA100024.tar.gz	Compressed Tar File	862295617	ATAC_SEQ	True
MOHD_EA100028	MOHD_EA100028.tar.gz	Compressed Tar File	1373936607	ATAC_SEQ	True
MOHD_EA100001	MOHD_EA100001.tar.gz	Compressed Tar File	1111684813	ATAC_SEQ	True
MOHD_EA100020	MOHD_EA100020.tar.gz	Compressed Tar File	1278019004	ATAC_SEQ	True
MOHD_EA100022	MOHD_EA100022.tar.gz	Compressed Tar File	819820555	ATAC_SEQ	True
MOHD_EA100034	MOHD_EA100034.tar.gz	Compressed Tar File	1167358594	ATAC_SEQ	True
MOHD_EA100018	MOHD_EA100018.tar.gz	Compressed Tar File	1107351385	ATAC_SEQ	True
MOHD_EA100008	MOHD_EA100008.tar.gz	Compressed Tar File	1347821662	ATAC_SEQ	True
